"","nom_sirops","correlation"
"19","GOU 75CL","0.107803162848217"
"26","PLAISIRS 60CL AROMES NAT","0.160433459587301"
"11","MDV petits producteurs","0.172612699656036"
"12","MDV sirops de camille","0.200799313802186"
"15","MDV tradition (classique 70cl AN++)","0.290696240244287"
"10","Plaisir","0.298369384277401"
"4","100CL","0.305358506011837"
"20","SS SUCRE","0.355401962857154"
"5","BIO (btl 50cl)","0.355710311000385"
"18","BIO 50cl","0.376180256062445"
"24","MEGA","0.378379167239604"
"7","BIO","0.383891789936932"
"3","Plaisir 60CL","0.384026206884611"
"6","Plaisir 75CL","0.388359584323203"
"21","CLASSIQUES","0.39839195051083"
"2","CLA 75 CL","0.430640147089222"
"25","PLAISIRS 60CL","0.45729811507136"
"16","MDV tradition (recette 70cl AN++ )","0.49679526410466"
"9","Max","0.511903205929783"
"8","Bidon+ fruite","0.537615110110343"
"1","0% 60CL","0.56069017217964"
"27","ZEROS 0%","0.573719530275515"
"17","MDV tradition (recette 70cl)","0.574310309223651"
"22","CLASSIQUES AROMES NAT","0.583377852973672"
"14","MDV tradition (classique 70cl )","0.62941417131096"
"23","CONC DE GOUT","0.632692247881096"
"13","MDV tradition (Plaisir 70cl )","0.63663520344041"
