"","nom_sirops","correlation"
"97","SU CLA 75 CL GRENADINE","-0.209896290656696"
"102","SU GOU 75CL FRAISE","-0.178391914537658"
"100","SU GOU 75CL CASSIS","-0.131444360106321"
"107","SU GOU 75CL PECHE","-0.123549574064862"
"136","T MEGA PECHE ABRICOT","-0.00550292564108554"
"103","SU GOU 75CL FRAMBOISE","0.0100250788283846"
"60","MDV MDV petits producteurs CASSIS","0.0516499714274091"
"74","MDV MDV tradition (Plaisir 70cl ) MÛRE","0.0570709915896126"
"137","T MEGA POMME FRAMBOISE CASSIS","0.0605532271038709"
"96","SU CLA 75 CL CITRON","0.0644488222985687"
"54","Galec Plaisir FRAMBOISE","0.0755417358642309"
"63","MDV MDV sirops de camille FRAISE DES BOIS","0.0810038388357814"
"51","Galec Plaisir CASSIS","0.0855377170803275"
"99","SU CLA 75 CL ORANGE","0.0873951390587266"
"37","Galec BIO GRENADINE","0.0874512188124564"
"34","Galec BIO CASSIS","0.0934772899177295"
"98","SU CLA 75 CL MENTHE VERTE","0.101145107926947"
"158","T PLAISIRS 60CL AROMES NAT PECHE","0.116840941840711"
"91","SU BIO 50cl FRAISE","0.119535461922627"
"14","Auchan Plaisir 60CL ORANGE","0.141807330389661"
"122","T CLASSIQUES GRENADINE","0.14541142979033"
"111","SU SS SUCRE FRAISE","0.16589731066695"
"112","SU SS SUCRE GRENADINE","0.174065700469916"
"64","MDV MDV sirops de camille GRENADINE","0.178299380339026"
"61","MDV MDV petits producteurs FRAISE","0.186017203332318"
"53","Galec Plaisir FRAISE","0.198192760099135"
"159","T ZEROS 0% CASSIS","0.20074467281177"
"11","Auchan Plaisir 60CL FRAMBOISE","0.204387559375118"
"157","T PLAISIRS 60CL AROMES NAT FRAISE","0.208211398719592"
"17","Auchan Plaisir 60CL POMME FRAMBOISE CASSIS","0.209725622887987"
"92","SU BIO 50cl GRENADINE","0.209989713435351"
"145","T PLAISIRS 60CL FRAISE","0.211145238789227"
"20","Francap 100CL GRENADINE","0.219654545692231"
"36","Galec BIO FRAISE","0.226335802141957"
"19","Francap 100CL FRAISE","0.22830163510152"
"8","Auchan Plaisir 60CL CASSIS","0.235142300717479"
"144","T PLAISIRS 60CL CLEMENTINE","0.235395605904719"
"30","Francap Plaisir 75CL FRAMBOISE","0.235829006126807"
"139","T PLAISIRS 60CL ABRICOT","0.23690390119849"
"70","MDV MDV tradition (Plaisir 70cl ) FRAISE","0.242229587933619"
"22","Francap BIO (btl 50cl) GRENADINE","0.247116703581487"
"154","T PLAISIRS 60CL POMME","0.247571162638615"
"62","MDV MDV petits producteurs PECHE","0.24846103885473"
"27","Francap CLA 75 CL ORANGE","0.260215694084717"
"28","Francap Plaisir 75CL CASSIS","0.261166595525632"
"134","T MEGA GRENADINE","0.263248264256399"
"4","Auchan CLA 75 CL GRENADINE","0.264823189314211"
"106","SU GOU 75CL PAMPLEMOUSSE","0.269561472197754"
"110","SU SS SUCRE AGRUMES","0.281475802606399"
"71","MDV MDV tradition (Plaisir 70cl ) FRAISE DES BOIS","0.284018948929506"
"58","Galec Plaisir PECHE","0.286974435516282"
"59","Galec Plaisir THE PÊCHE","0.287938603331946"
"108","SU GOU 75CL THE PÊCHE","0.289618606469641"
"81","MDV MDV tradition (classique 70cl AN++) GRENADINE","0.290696240244287"
"35","Galec BIO CITRON","0.294554877712816"
"90","SU BIO 50cl CITRON","0.299290821066219"
"18","Francap 100CL CITRON","0.300389498390244"
"82","MDV MDV tradition (recette 70cl AN++ ) PECHE ABRICOT","0.308690280324939"
"25","Francap CLA 75 CL GRENADINE","0.316234514412002"
