Années\Identifiants,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
1 / 2018,1670,11797,8352,24750,16688,835,9605,15869,7517,29023,8770,6264,0,11275,835,21298,12528,1368,1824,4560,912,0,0,6188,16875,4500,4500,6188,6750,2813,1688,5063,1688,5070,3900,0,8970,0,0,0,0,60300,185288,68850,17438,14976,39744,101376,31680,29952,33750,16313,70313,25875,18563,8438,10125,57938,15188,0,0,0,6545,7189,6728,7644,15809,8051,29795,22462,16246,2793,3045,0,40026,8035,22239,11201,27581,18123,104672,44797,19144,0,15238,5393,7623,7060,780,2340,5460,3510,2730,390,1950,34875,92250,43875,9000,19125,0,29250,15750,0,7875,3938,26438,7313,10688,7313,10688,16313,15188,5063,0,0,0,0,0,22838,120087,443781,182979,27855,2700,0,0,0,33250,5947,29142,12359,4788,114768,24768,0,0,38880,0,0,64937,20120,47711,0,96557,46645,25330,13763,0,4082,0,21089,78435,21017,0,15242,0,0,0,40986,20156,28188,62971,43135,0,12686,40882,12208
2 / 2018,1253,10858,6682,9000,8438,4594,5011,13781,6682,20880,9187,6264,0,8352,3341,16704,11275,3648,3648,9576,4104,0,0,9563,23625,12938,5063,7875,14063,5063,2250,9563,2813,3510,3120,0,7800,0,0,0,0,36788,97988,38363,13500,17280,40320,104256,35136,30528,30938,13500,57375,25313,16875,3938,10125,43875,16875,0,0,0,8345,6804,4356,6544,9232,5775,27607,13650,18904,1777,3809,0,23558,8883,10605,5426,27581,9244,14730,37212,16657,0,10891,4633,7253,5313,1170,2730,5460,5850,5070,390,2340,21375,68625,28688,10688,25875,5625,30938,16875,5625,11250,6750,37125,11250,14063,9563,16313,20813,18000,7875,0,0,0,0,0,16988,102141,100467,11781,23414,4500,0,0,0,33336,5814,32785,9410,3303,3456,1328,0,0,8928,0,0,52200,15646,48337,0,71437,39985,22028,9378,0,2707,0,24743,54115,21694,0,13050,0,0,0,41058,20192,25160,68382,43535,0,15242,41965,11999
3 / 2018,4594,13781,10022,29250,21938,3341,7934,15034,7099,30902,10022,10022,0,10858,4594,22968,13781,2736,3648,5928,3648,0,0,6750,21375,9000,3375,5625,11813,5625,2813,5063,2813,7020,6240,0,12480,0,0,0,0,47025,151763,36450,18563,23040,48384,112320,42624,39168,44438,18563,70875,39375,27563,7313,11813,50625,24750,0,0,0,7322,4046,8302,9694,14620,10147,31471,31193,14326,4427,3158,0,25624,10177,22596,13255,42151,21315,135555,60241,22894,3881,16544,7396,8127,9681,1560,7800,11310,12090,8580,1170,3120,35438,126000,49500,20813,37688,7313,56813,25313,6188,18000,7313,54000,17438,17438,11813,22500,32063,29813,9000,0,0,0,0,0,25538,137124,630036,269586,33858,4086,0,0,0,42433,6570,36236,11761,4626,76554,2263,0,0,19980,0,0,64624,21017,58577,0,115936,42631,27353,16265,0,4248,0,41030,97502,25052,0,15973,0,0,0,49104,20495,33671,71986,53870,0,13594,46498,9184
4 / 2018,4594,12946,10440,46688,20813,4594,10022,18374,10440,37166,14198,12528,0,12110,4176,25891,13781,4104,5928,10032,5472,0,0,13500,25313,11813,9000,11250,18000,5625,2813,8438,3938,15600,14430,0,24180,0,0,0,0,36000,113063,52875,20250,29376,55296,133056,48384,44352,44438,23063,82125,38250,28688,10125,15188,62438,25875,0,0,0,11228,9817,8456,14200,16779,14759,51328,31832,28144,7232,5615,0,53327,13923,31471,18984,36460,19211,122817,65088,33940,7451,23041,7195,12705,10752,2340,4680,11310,15210,9750,3510,5850,39375,86438,50625,14625,42188,3938,52875,26438,2813,19125,7313,66938,14625,23625,15188,24188,31500,31500,10688,0,0,0,0,0,28913,164268,340632,162594,36378,6548,0,0,0,55638,9713,39254,11074,12330,168336,67968,0,0,64368,0,0,82580,26471,101180,0,78304,56326,37062,18346,0,6908,0,45882,68885,23555,0,14303,0,0,0,61974,29419,36018,79866,70366,0,18367,58050,17489
5 / 2018,6264,17957,15451,46688,25875,6682,16286,19210,15451,33826,15869,12946,0,13781,8770,33826,18792,5016,5928,11400,8664,0,0,11813,23063,18000,5063,9000,14625,7313,5063,10688,3375,9750,8190,0,16380,0,0,0,0,51750,171563,59625,19688,31104,51264,131328,57024,40320,83250,59063,153563,79313,54000,15188,50063,111375,61875,0,0,0,10292,3355,11156,15263,18988,17863,56860,37834,35036,9542,5741,0,83093,28665,31072,22831,61853,27812,144030,83215,32420,9215,21105,9450,16321,9164,1080,4430,7610,11010,7500,300,4760,28688,59063,39938,15188,27563,9000,43313,25313,6750,28688,10688,43313,16875,19125,17438,27000,30375,34875,14625,0,0,0,0,0,37125,198549,471789,302846,40649,12038,0,0,0,95958,8251,57517,12449,17802,204039,76176,0,0,51876,0,0,93647,32771,115251,0,140319,66020,40612,14249,0,10642,0,84460,118190,27439,0,23594,0,0,0,88369,37616,37062,133110,104713,0,20916,58457,24113
6 / 2018,6264,18792,16704,36000,12375,7517,15451,26726,19627,56376,17122,19209,0,13363,7934,32573,18374,4104,5928,13224,5016,0,0,15188,36563,22500,6750,9000,21375,7313,6188,12375,5625,5070,5460,0,12090,0,0,0,0,69188,173813,99000,24188,37440,67968,145152,58176,54144,39938,24750,69188,32625,27000,16875,17438,54563,23625,0,0,0,7409,7700,6991,14675,12537,11000,48103,33012,25922,11042,4738,0,65822,12092,32932,14074,57490,18446,120809,76424,38144,11848,16699,9269,10550,9752,2730,6630,6630,6630,9750,5070,1950,24750,73688,34313,11250,30938,10125,36563,18563,12938,20250,6750,34688,16313,15750,13500,24188,32063,29250,16313,0,0,0,0,0,23175,150471,556722,349749,26483,9248,0,0,0,71215,8143,42142,12006,15381,118224,27090,0,0,35739,0,0,65495,19256,72827,0,109159,42394,28850,13482,0,10148,0,44974,96780,21686,0,14616,0,0,0,80485,28681,41656,89716,80723,0,23087,54796,18014
7 / 2018,6264,16704,18792,56250,26662,5429,10440,10858,13363,31320,13781,11693,0,9605,6682,25891,13781,2736,6840,7752,6840,0,0,13500,26438,15750,7313,12375,15750,6188,3938,10125,1688,5070,7020,0,10920,0,0,0,0,68063,147938,97313,18000,43776,57024,141120,65088,45504,29250,16875,55688,26438,28688,20250,11813,45563,23063,0,0,0,6944,6721,9796,20383,14078,14713,73324,33193,22004,19526,5788,0,81014,21958,35393,18253,79489,19904,145013,82446,31966,11588,18648,9253,11924,8488,3120,3900,7020,11310,11310,780,3510,14625,59063,41063,20250,28125,14063,42750,25313,10688,30375,13500,29250,24750,23063,16875,24750,34313,48938,14063,0,0,0,0,0,41625,230256,406035,437400,41000,5180,0,0,0,153263,7369,56498,14648,15813,148725,73422,0,0,75186,0,0,95839,27983,128431,0,153654,58532,39211,16240,0,13806,0,90934,133501,25376,0,23386,0,0,0,90317,30834,36122,93478,111393,0,23778,65549,19559
8 / 2018,5846,16704,21715,43313,29025,8770,19210,23386,21715,51782,19210,18374,0,16704,7099,38837,16286,5928,6384,13224,5016,0,0,15750,30375,23625,6188,9000,18563,8438,5625,12938,6188,7410,7410,0,15210,0,0,0,0,82125,200363,125775,23063,42624,66816,161856,78336,57024,54563,33750,93938,45563,35438,25313,20813,64125,39375,0,0,0,10397,8237,10922,18669,17102,11844,63403,32978,24566,16670,6468,0,76427,20878,29463,19097,67969,22512,120540,55226,38321,9841,16968,10471,14406,10714,3510,4190,8970,8660,11230,4680,7410,41063,106313,70313,9563,25875,13500,22125,24188,13500,16875,6188,34313,18000,20250,15188,17438,21938,29250,15750,0,0,0,0,0,30600,166014,492750,417699,31284,11669,0,0,0,106092,13745,60203,17525,26937,163728,73737,0,0,63936,0,0,82652,28530,98106,0,99604,55926,34034,21006,0,19742,0,57414,92629,24779,0,20671,0,0,0,80863,29524,39985,77119,87664,0,21708,56797,23357
9 / 2018,1253,9605,2923,22500,10688,3341,10440,15869,4176,24221,9605,9187,0,7517,3758,21715,15034,1824,3192,7752,5016,0,0,5063,16875,7875,2250,3375,9563,1688,0,4050,1688,5460,3120,0,10140,0,0,0,0,28688,105629,38475,14063,21888,47763,104256,40320,35712,36000,16875,59625,29250,24750,8438,11250,43875,23063,0,0,0,4021,2707,3161,7930,10676,5712,24473,20756,8484,4670,4158,0,24133,5137,18829,6581,29077,14511,90934,39147,14532,6964,10870,5443,6716,4952,3510,2340,5070,6240,2730,1170,4290,23063,71438,36000,9000,21375,3938,13500,14063,3938,10688,2250,30375,9563,11813,5063,13500,14063,15188,7875,0,0,0,0,0,12375,59460,327228,136053,18216,3317,0,0,0,27918,2653,22320,6016,4986,126432,33471,0,0,38043,0,0,42595,13072,30542,0,61738,25117,17017,8892,0,4392,0,17122,59832,19015,0,8352,0,0,0,29995,14663,20671,33883,33566,0,6800,26011,9349
10 / 2018,4594,13781,13363,40500,18000,8769,17121,25890,21297,54286,20461,19626,0,17121,8769,41341,24220,2736,6840,9120,6384,0,0,10688,22500,10688,5063,10125,14063,6750,2813,6750,2250,6240,6240,0,13650,0,0,0,0,46125,137813,57938,16313,29376,52416,121536,51840,42048,48375,18000,75938,36563,19125,11813,10688,48938,9000,0,0,0,4962,5595,4216,8366,10399,9244,26926,27926,18673,3637,3041,0,32197,5540,23843,9198,33373,16418,111754,64642,22974,8350,12734,5145,6481,5296,2730,1950,7020,5460,2340,1170,2730,7313,53438,15750,11250,27000,6750,30938,17438,3375,10688,1688,37688,9563,14625,12938,18000,23063,23063,12375,0,0,0,0,0,17550,89037,379512,141039,20718,6399,0,0,0,22439,4486,29052,9799,11070,139680,47511,0,0,52200,0,0,58882,15257,37472,0,78822,38434,24325,9702,3204,1991,0,24012,62408,20804,0,13468,0,0,0,46033,22025,22759,61564,43744,2779,10138,36554,11322
