Date,departement 01,departement 02,departement 03,departement 04,departement 05,departement 06,departement 07,departement 08,departement 09,departement 10,departement 11,departement 12,departement 13,departement 14,departement 15,departement 16,departement 17,departement 18,departement 19,departement 20,departement 21,departement 22,departement 23,departement 24,departement 25,departement 26,departement 27,departement 28,departement 29,departement 30,departement 31,departement 32,departement 33,departement 34,departement 35,departement 36,departement 37,departement 38,departement 39,departement 40,departement 41,departement 42,departement 43,departement 44,departement 45,departement 46,departement 47,departement 48,departement 49,departement 50,departement 51,departement 52,departement 53,departement 54,departement 55,departement 56,departement 57,departement 58,departement 59,departement 60,departement 61,departement 62,departement 63,departement 64,departement 65,departement 66,departement 67,departement 68,departement 69,departement 70,departement 71,departement 72,departement 73,departement 74,departement 75,departement 76,departement 77,departement 78,departement 79,departement 80,departement 81,departement 82,departement 83,departement 84,departement 85,departement 86,departement 87,departement 88,departement 89,departement 90,departement 91,departement 92,departement 93,departement 94,departement 95,departement 2A,departement 2B
01/2018,6.789999999999999,6.74,7.159999999999999,4.808333333333334,2.1999999999999997,9.055555555555555,7.4799999999999995,5.68,6.775,6.4,9.992857142857144,6.516666666666667,10.1125,7.449999999999999,6.116666666666667,8.733333333333333,9.237499999999999,7.574999999999999,6.383333333333334,11.35,6.771428571428571,8.458333333333334,6.633333333333333,8.371428571428572,4.6,7.5,7.279999999999999,7.55,8.761111111111111,9.454545454545455,8.633333333333333,8.65,9.410526315789474,10.884210526315789,8.4375,8.033333333333333,8.2,4.612500000000001,5.2,9.7,7.739999999999999,6.777777777777778,4.85,8.983333333333334,5.475,7.616666666666667,9.1,3.3166666666666664,8.928571428571429,8.366666666666667,6.666666666666667,6.199999999999999,8.2,6.4,5.65,8.641666666666666,5.800000000000001,6.5,6.5,7.0200000000000005,7.062500000000001,6.7375,5.277777777777778,8.785714285714286,6.9750000000000005,9.437499999999998,6.555555555555555,5.314285714285715,7.223076923076922,6.033333333333334,6.949999999999999,8.0,2.590909090909091,3.771428571428571,8.533333333333333,6.990909090909091,7.75,7.2200000000000015,8.85,6.650000000000001,8.8,8.959999999999999,11.020000000000003,7.719999999999999,8.853846153846153,7.710000000000001,7.1000000000000005,4.79,7.6,5.85,7.566666666666667,Null,7.9,Null,7.35,11.516666666666666,11.533333333333333
02/2018,1.2599999999999998,1.22,1.1400000000000001,0.9916666666666666,-2.3666666666666667,5.211111111111112,2.4,0.27999999999999997,2.95,1.05,5.757142857142858,1.7999999999999998,5.218750000000001,3.1666666666666665,0.5,3.8200000000000003,4.7749999999999995,1.625,0.9166666666666664,8.25,1.3285714285714285,4.516666666666667,0.75,3.8571428571428568,-1.6444444444444444,2.6374999999999997,2.25,2.1,5.105555555555556,4.445454545454545,4.777777777777777,4.550000000000001,5.261111111111111,5.952631578947368,4.125,2.1333333333333333,2.6999999999999997,-0.3217391304347826,-0.6,5.62,2.02,0.6100000000000001,-1.34,4.616666666666667,1.075,3.2166666666666663,4.766666666666667,-2.1999999999999997,3.9571428571428577,4.25,0.9666666666666667,0.39999999999999997,3.325,0.31999999999999995,0.1,4.833333333333333,-0.2875,0.6000000000000001,2.1,1.48,2.0125,2.6714285714285713,-0.8666666666666667,4.866666666666667,3.2750000000000004,5.25,0.6888888888888889,-0.7142857142857143,1.2307692307692308,1.1666666666666667,1.1500000000000001,2.84,-2.0272727272727273,-1.0000000000000002,2.9166666666666665,2.727272727272727,1.75,1.54,3.8000000000000003,1.8666666666666665,4.425000000000001,4.76,6.396,3.0266666666666664,4.107142857142857,2.77,2.0,-1.2000000000000002,1.7,0.0,1.75,Null,1.8,Null,1.625,7.849999999999999,7.366666666666666
03/2018,6.82,6.1,7.616666666666666,4.508333333333333,1.5499999999999998,8.177777777777777,7.74,5.22,7.000000000000001,6.449999999999999,9.878571428571428,6.699999999999999,10.1,6.8500000000000005,5.966666666666668,8.739999999999998,8.876470588235295,7.7,6.133333333333334,10.1,6.185714285714285,7.474999999999999,6.716666666666668,8.628571428571428,3.8666666666666663,8.24,6.525,7.3,7.3999999999999995,9.116666666666665,9.122222222222224,8.95,9.722222222222223,10.736842105263156,7.7,7.7,7.966666666666666,5.036,4.35,10.075,7.9,6.81,4.57,8.5,5.65,7.957142857142857,9.266666666666667,3.0833333333333335,8.428571428571429,7.199999999999999,5.95,5.5,7.550000000000001,5.1,5.050000000000001,7.533333333333334,4.533333333333334,6.249999999999999,5.9,6.4399999999999995,6.3875,6.137499999999999,5.055555555555555,9.200000000000001,7.5,9.0125,5.155555555555555,4.207142857142856,7.461538461538463,5.533333333333334,6.633333333333333,7.675,2.690909090909091,3.7142857142857144,8.233333333333333,6.55,7.35,6.769999999999999,8.5,6.1000000000000005,9.375,9.420000000000002,10.295833333333333,7.685714285714286,8.284615384615385,7.9,7.0,4.033333333333334,7.300000000000001,4.7,7.316666666666666,Null,7.3,Null,6.925,10.75,10.455555555555556
04/2018,13.74,12.620000000000001,13.116666666666667,10.727272727272727,9.890909090909092,13.433333333333334,13.99,12.76,12.125,12.95,14.246666666666668,12.050000000000002,15.33125,11.966666666666669,11.583333333333334,14.042857142857144,13.605882352941176,13.05,11.833333333333334,14.5,13.22857142857143,11.79166666666667,12.35,13.557142857142859,11.112499999999999,14.053333333333335,12.325,12.766666666666666,11.513333333333332,14.208333333333334,13.911111111111113,13.399999999999999,14.16470588235294,14.877777777777778,12.485714285714284,12.699999999999998,13.149999999999999,12.048,11.5,14.475,13.2,12.575,10.6,13.133333333333333,12.325,13.842857142857142,14.533333333333333,8.65,13.22857142857143,11.9,12.75,13.25,12.425,13.1,12.55,11.950000000000001,12.944444444444445,12.125,12.600000000000001,12.64,11.8875,11.271428571428572,10.487499999999999,13.200000000000001,12.0,13.574999999999998,13.919999999999998,13.007142857142856,13.892857142857142,13.200000000000001,13.183333333333335,12.95,10.218181818181817,11.957142857142857,14.966666666666667,12.272727272727273,13.4,13.02,13.385714285714286,12.483333333333334,14.525,14.66,15.362500000000002,13.740000000000002,13.106666666666667,13.100000000000001,12.566666666666668,11.822222222222221,13.2,13.4,13.366666666666667,Null,13.6,13.6,13.350000000000001,15.15,15.455555555555556
05/2018,16.29090909090909,15.660000000000002,14.899999999999999,13.35,11.490909090909089,16.355555555555554,16.39,16.06,13.299999999999999,15.9,16.512500000000003,14.1,17.571428571428573,13.65,13.383333333333333,16.24285714285714,15.864705882352943,15.5,13.466666666666667,17.1,16.185714285714287,13.30909090909091,13.783333333333333,16.116666666666664,13.277777777777779,16.3,14.98,15.700000000000001,13.613333333333335,16.941666666666666,15.655555555555557,15.4,16.094444444444445,17.716666666666665,14.716666666666667,14.833333333333334,15.65,13.803999999999997,13.85,15.850000000000001,15.883333333333335,14.711111111111112,12.489999999999998,16.099999999999998,16.15,15.457142857142857,16.250000000000004,10.866666666666665,16.03333333333333,13.683333333333332,15.825000000000001,16.1,15.35,16.22,15.4,14.738461538461538,16.244444444444444,13.724999999999998,15.120000000000001,15.079999999999998,14.6,14.183333333333332,12.68888888888889,14.4,13.125,16.075,16.809999999999995,15.930769230769233,16.06923076923077,16.25,15.883333333333333,15.900000000000002,12.445454545454549,13.635714285714286,17.6,14.433333333333332,16.549999999999997,15.819999999999999,16.0,15.016666666666666,15.200000000000001,16.06,17.7375,16.89166666666667,15.626666666666667,15.58888888888889,15.299999999999999,14.710000000000003,15.649999999999999,16.25,16.316666666666666,Null,16.4,16.5,15.899999999999999,17.166666666666668,17.54444444444444
06/2018,19.419999999999998,18.02,18.616666666666664,17.09166666666667,15.108333333333333,19.966666666666665,20.259999999999998,18.459999999999997,17.975,19.0,21.22307692307692,18.516666666666666,21.78571428571428,16.9,17.5,20.185714285714287,20.246666666666666,19.525,17.950000000000003,20.7,19.542857142857144,16.683333333333334,17.549999999999997,20.428571428571427,16.855555555555558,20.071428571428573,18.160000000000004,18.875,17.1,21.3,20.4875,19.6,20.939999999999998,22.1,18.585714285714285,18.833333333333332,19.2,17.252000000000002,17.3,20.25,18.416666666666668,18.166666666666668,16.009999999999998,19.566666666666663,19.275,19.95714285714286,20.8,14.799999999999999,19.82,16.466666666666665,18.525,19.049999999999997,18.65,19.080000000000002,17.9,18.56153846153846,18.762500000000003,18.0,17.160000000000004,17.716666666666665,17.925,16.016666666666666,16.311111111111114,18.483333333333334,17.575,20.625,19.55,18.378571428571426,19.53846153846154,18.95,19.283333333333335,19.45,16.5,17.93076923076923,20.266666666666666,17.2,19.5,18.650000000000002,20.171428571428574,17.542857142857144,20.825000000000003,21.0,21.878260869565214,20.021428571428572,19.58,19.34444444444445,19.5,17.31,19.1,18.9,19.333333333333332,Null,19.2,19.5,18.5,20.733333333333334,21.600000000000005
07/2018,22.389999999999997,21.82,21.86666666666667,20.333333333333332,18.466666666666665,22.63,23.236363636363635,21.8,20.875,22.35,24.849999999999998,21.816666666666666,25.307142857142857,20.020000000000003,20.183333333333334,22.51666666666667,22.02142857142857,22.224999999999998,19.833333333333332,23.7,22.45,18.925,20.583333333333332,22.416666666666668,19.744444444444447,23.635714285714283,21.65,22.533333333333335,19.04,25.033333333333335,23.314285714285713,22.85,21.57368421052632,25.568749999999998,20.9,21.600000000000005,22.04,20.651999999999997,19.85,22.78,18.433333333333334,21.333333333333332,19.15,21.52,22.775000000000002,22.785714285714285,22.733333333333334,17.95,22.400000000000002,19.35,22.025,22.5,21.425,22.28,21.1,20.008333333333336,21.937500000000004,20.566666666666666,21.36,21.683333333333337,20.914285714285715,20.033333333333335,19.333333333333332,21.433333333333334,20.425,24.237500000000004,22.029999999999998,21.028571428571432,22.876923076923074,22.2,22.2,22.650000000000002,19.209090909090904,20.45714285714286,24.55,20.490909090909096,23.4,22.66,22.799999999999997,21.428571428571427,23.675,23.825,25.072727272727274,23.800000000000008,21.807142857142853,22.400000000000002,21.7,20.299999999999997,22.200000000000003,22.5,23.099999999999998,Null,22.8,23.4,22.625,24.3,24.977777777777778
08/2018,22.009999999999998,19.46,21.533333333333335,18.62,17.450000000000003,23.3,22.58181818181818,19.72,20.5,21.1,24.63076923076923,21.416666666666668,24.66428571428571,18.380000000000003,19.733333333333334,22.183333333333334,21.42142857142857,21.775,19.033333333333335,24.6,21.433333333333337,17.758333333333333,20.233333333333334,22.228571428571428,18.966666666666665,23.03571428571429,19.575,20.73333333333333,17.82,24.275000000000002,23.12857142857143,22.65,20.294444444444437,25.506249999999998,19.24285714285714,20.866666666666667,20.8,20.19583333333333,19.950000000000003,22.25,15.216666666666667,20.977777777777774,18.67,20.32,21.375,22.51428571428571,22.666666666666668,17.21666666666667,20.866666666666664,17.95,20.275,21.05,19.675,20.84,19.1,18.533333333333335,20.637500000000003,19.6,19.2,19.400000000000002,18.957142857142856,18.566666666666666,19.11111111111111,20.685714285714287,20.175,24.200000000000003,21.099999999999998,20.978571428571428,21.85714285714286,21.266666666666666,21.95,20.725,18.5,19.93076923076923,22.299999999999997,18.718181818181822,21.0,20.41,21.98,19.333333333333332,23.8,23.499999999999996,24.927272727272722,22.723076923076924,20.842857142857138,21.279999999999998,21.066666666666666,19.566666666666666,21.35,22.5,20.916666666666668,Null,19.8,21.3,20.45,24.883333333333336,25.655555555555555
09/2018,18.65,15.920000000000002,18.466666666666665,16.47,15.584615384615384,20.1,19.27272727272727,15.6,18.2,16.5,21.75,18.583333333333332,21.550000000000004,15.459999999999999,16.71666666666667,19.333333333333332,18.857142857142858,18.05,16.833333333333332,21.6,17.82857142857143,16.26666666666667,17.233333333333334,18.983333333333334,15.525,19.57857142857143,15.6,16.7,16.186666666666667,21.183333333333334,20.7125,20.5,20.214999999999996,22.220000000000006,16.685714285714283,18.099999999999998,17.06,17.258333333333333,18.3,20.51666666666667,16.8,17.811111111111114,15.559999999999999,17.5,17.049999999999997,19.385714285714283,20.21666666666667,14.720000000000002,17.599999999999998,15.916666666666666,15.839999999999998,16.95,16.75,16.6,16.2,16.566666666666666,16.287499999999998,16.275,15.7,15.499999999999998,15.625,15.300000000000002,15.977777777777776,19.71666666666667,18.6,21.17777777777778,16.745454545454542,16.791666666666664,18.814285714285717,15.925,18.23333333333333,17.200000000000003,15.881818181818183,17.03846153846154,18.5,15.627272727272727,16.75,16.43,19.325,15.528571428571428,21.175,20.75,22.222727272727273,19.626666666666665,18.240000000000002,18.12,18.425,14.690000000000001,17.1,17.4,16.716666666666665,Null,16.9,17.0,16.525,22.183333333333337,22.244444444444444
10/2018,12.670000000000002,12.52,13.133333333333335,11.799999999999999,10.446153846153846,15.81538461538462,13.645454545454545,12.040000000000001,13.120000000000001,12.600000000000001,16.157142857142862,13.016666666666666,16.619999999999997,12.819999999999999,12.200000000000001,14.949999999999998,14.564285714285715,13.75,12.949999999999998,17.5,12.842857142857142,12.924999999999999,12.716666666666667,14.471428571428572,10.7625,14.071428571428573,12.319999999999999,13.3,12.528571428571428,15.591666666666667,14.912500000000001,14.55,15.521052631578948,16.864705882352943,13.285714285714286,13.700000000000001,13.38,11.837499999999999,10.85,14.580000000000002,13.916666666666666,12.566666666666666,10.669999999999998,13.920000000000002,13.7,14.414285714285713,14.916666666666666,9.86,13.616666666666665,13.233333333333334,12.3,12.7,13.075000000000001,12.5,12.25,13.041666666666664,11.9875,12.4,13.020000000000001,12.614285714285714,12.2625,13.183333333333332,11.2,13.816666666666665,12.724999999999998,15.88888888888889,11.890909090909092,11.558333333333332,13.257142857142856,11.174999999999999,12.983333333333333,13.125,10.763636363636364,11.414285714285713,15.133333333333333,13.272727272727273,13.75,13.249999999999996,14.649999999999999,12.62857142857143,15.0,14.725,17.330434782608698,14.307142857142859,14.059999999999999,13.77,15.024999999999999,11.000000000000002,13.5,12.0,13.649999999999999,Null,14.0,14.0,13.4,18.26666666666667,17.822222222222223
