Date,departement 01,departement 02,departement 03,departement 04,departement 05,departement 06,departement 07,departement 08,departement 09,departement 10,departement 11,departement 12,departement 13,departement 14,departement 15,departement 16,departement 17,departement 18,departement 19,departement 20,departement 21,departement 22,departement 23,departement 24,departement 25,departement 26,departement 27,departement 28,departement 29,departement 30,departement 31,departement 32,departement 33,departement 34,departement 35,departement 36,departement 37,departement 38,departement 39,departement 40,departement 41,departement 42,departement 43,departement 44,departement 45,departement 46,departement 47,departement 48,departement 49,departement 50,departement 51,departement 52,departement 53,departement 54,departement 55,departement 56,departement 57,departement 58,departement 59,departement 60,departement 61,departement 62,departement 63,departement 64,departement 65,departement 66,departement 67,departement 68,departement 69,departement 70,departement 71,departement 72,departement 73,departement 74,departement 75,departement 76,departement 77,departement 78,departement 79,departement 80,departement 81,departement 82,departement 83,departement 84,departement 85,departement 86,departement 87,departement 88,departement 89,departement 90,departement 91,departement 92,departement 93,departement 94,departement 95,departement 2A,departement 2B
01/2018,9.57,8.8,9.9,9.000000000000002,6.258333333333334,12.944444444444445,10.55,7.94,11.249999999999998,9.25,13.121428571428568,8.816666666666666,13.856250000000001,9.783333333333333,8.983333333333333,11.183333333333332,11.506250000000001,9.925,9.066666666666666,15.850000000000001,9.614285714285714,10.9,9.1,11.257142857142856,7.522222222222221,10.96875,9.78,9.7,11.155555555555553,13.109090909090908,11.922222222222222,11.8,11.942105263157893,14.321052631578945,11.049999999999999,10.166666666666666,10.6,7.854166666666667,8.35,12.525,10.1,9.666666666666666,7.65,11.083333333333334,7.2,10.183333333333334,11.633333333333333,5.8999999999999995,11.37142857142857,10.450000000000001,9.033333333333333,8.45,10.42,8.74,7.4,11.108333333333334,7.911111111111111,8.925,8.84,9.280000000000001,9.3,8.85,8.088888888888889,11.942857142857141,11.3,13.1125,9.022222222222224,8.028571428571428,10.015384615384615,8.466666666666667,9.533333333333333,10.4,6.245454545454546,6.721428571428572,10.4,9.200000000000001,9.9,9.48,11.350000000000001,8.95,11.25,11.559999999999999,14.196,11.906666666666668,11.107692307692306,10.479999999999999,9.4,7.159999999999999,9.9,8.0,9.799999999999999,Null,10.1,Null,9.575000000000001,14.85,15.42222222222222
02/2018,4.18,4.140000000000001,4.06,5.5249999999999995,2.1166666666666667,8.777777777777779,5.249999999999999,3.4200000000000004,6.675000000000001,4.1,9.085714285714284,5.333333333333333,9.056249999999999,6.066666666666666,4.15,7.2,7.9625,4.5,4.416666666666666,12.4,3.814285714285714,7.408333333333334,3.5833333333333335,7.942857142857143,1.2333333333333334,5.593750000000001,5.5249999999999995,5.15,8.100000000000001,8.200000000000001,8.266666666666666,8.35,9.188888888888888,10.073684210526315,7.5625,4.933333333333334,5.866666666666667,2.552173913043478,2.8000000000000003,9.58,5.38,3.25,1.6800000000000002,7.633333333333334,3.625,7.016666666666667,8.566666666666666,1.2,7.271428571428572,7.0,4.325,3.15,6.4,3.1,2.55,8.341666666666667,2.4000000000000004,3.4000000000000004,4.98,4.459999999999999,5.1,5.214285714285714,2.0999999999999996,8.116666666666665,6.8,8.575,3.255555555555555,1.8642857142857145,3.7769230769230777,4.033333333333333,3.6,6.159999999999999,1.781818181818182,1.6857142857142855,5.3,5.5,4.75,4.59,7.1,4.733333333333333,7.9750000000000005,8.320000000000002,10.032000000000002,7.120000000000001,7.221428571428572,6.01,4.966666666666667,1.43,4.800000000000001,2.1,4.666666666666667,Null,4.8,Null,4.675,11.166666666666664,10.68888888888889
03/2018,11.15,9.379999999999999,12.133333333333333,9.241666666666667,5.841666666666668,12.577777777777778,11.73,8.780000000000001,12.024999999999999,10.8,14.085714285714285,10.683333333333332,14.45,10.116666666666665,10.083333333333334,12.719999999999999,12.194117647058825,11.95,10.033333333333333,15.7,10.014285714285714,10.616666666666667,10.666666666666666,13.071428571428571,7.566666666666667,12.84,10.25,11.533333333333333,10.327777777777778,13.333333333333334,13.42222222222222,13.65,13.794444444444444,14.963157894736844,11.314285714285715,11.4,12.133333333333335,9.196,8.55,14.35,12.180000000000001,11.000000000000004,8.599999999999998,11.800000000000002,8.95,12.314285714285715,13.33333333333333,6.933333333333333,12.171428571428573,10.066666666666666,9.925,9.35,10.75,8.940000000000001,7.949999999999999,10.858333333333333,8.277777777777779,10.325,9.08,10.139999999999999,9.6875,8.8,9.022222222222222,13.033333333333337,12.15,13.4125,9.02222222222222,8.05,11.446153846153846,9.5,10.616666666666665,11.375,7.054545454545454,7.335714285714287,11.200000000000001,9.616666666666667,11.25,10.35,12.314285714285715,9.333333333333334,13.825000000000001,13.76,14.437500000000002,12.421428571428569,11.669230769230769,11.96,11.25,7.811111111111111,11.45,8.4,11.033333333333333,Null,11.0,Null,10.524999999999999,14.366666666666665,14.56666666666667
04/2018,19.71,17.52,18.833333333333332,16.490909090909092,15.436363636363636,18.08888888888889,19.190000000000005,18.48,18.4,19.15,18.880000000000003,17.316666666666666,20.318750000000005,16.316666666666666,17.433333333333334,19.228571428571428,17.78235294117647,18.549999999999997,17.483333333333334,20.6,19.085714285714285,15.908333333333333,17.733333333333334,19.985714285714284,17.2625,19.92,17.425,18.2,15.379999999999999,19.28333333333333,19.055555555555557,19.25,19.223529411764705,19.633333333333336,17.17142857142857,17.433333333333334,19.15,17.804000000000002,18.4,19.425,18.82,17.8625,16.269999999999996,17.150000000000002,17.675,19.571428571428573,19.833333333333332,14.049999999999999,18.1,15.516666666666666,18.724999999999998,18.7,16.8,19.2,17.35,16.258333333333333,19.077777777777776,17.625,17.02,17.98,16.3875,15.242857142857144,15.7,17.750000000000004,17.2,18.4,20.09,18.892857142857142,19.13571428571429,19.7,18.616666666666667,17.925,15.945454545454545,17.378571428571426,18.900000000000002,16.409090909090914,18.5,17.919999999999998,18.54285714285714,17.200000000000003,20.05,20.2,20.283333333333335,19.42,17.326666666666664,18.46666666666666,17.833333333333332,17.711111111111112,18.9,19.1,18.483333333333334,Null,18.6,18.4,18.35,19.55,20.255555555555556
05/2018,21.636363636363637,20.94,20.7,18.641666666666666,16.490909090909092,20.477777777777778,21.05,22.26,18.5,22.15,20.6375,18.95,22.27142857142857,18.516666666666666,18.799999999999997,22.02857142857143,20.317647058823535,21.35,18.999999999999996,22.2,21.75714285714286,17.781818181818178,19.45,22.0,18.877777777777776,21.192857142857143,21.160000000000004,21.625,18.58,21.833333333333332,20.177777777777777,20.35,21.444444444444443,22.20555555555556,20.3,19.900000000000002,22.075,18.392,19.65,20.125,22.233333333333338,19.555555555555557,17.27,20.983333333333334,22.475,20.914285714285715,21.666666666666668,15.616666666666667,21.933333333333334,18.166666666666668,22.25,21.8,20.875,22.419999999999998,20.7,20.400000000000002,22.38888888888889,19.825,20.0,20.900000000000002,20.3375,18.28333333333333,17.366666666666664,18.133333333333336,17.549999999999997,20.425,22.33,21.2076923076923,20.66923076923077,22.25,20.983333333333334,22.05,17.472727272727276,18.45,22.51666666666667,19.091666666666672,22.1,21.770000000000003,21.642857142857142,20.566666666666666,20.425,20.660000000000004,22.45833333333333,22.366666666666664,20.673333333333336,21.544444444444444,20.7,20.34,22.049999999999997,21.4,22.299999999999997,Null,22.0,21.9,21.599999999999998,21.033333333333335,21.644444444444446
06/2018,25.559999999999995,22.880000000000003,24.833333333333332,22.391666666666666,20.98333333333333,24.37777777777778,25.44,23.64,23.499999999999996,25.1,26.261538461538468,24.183333333333334,26.85714285714286,21.56,24.0,25.657142857142855,24.98,25.075,23.88333333333333,26.5,25.25714285714286,20.583333333333332,23.116666666666664,26.757142857142856,22.444444444444446,25.5,23.560000000000002,24.474999999999998,21.214285714285715,26.61666666666667,25.775000000000002,24.75,26.11904761904762,27.305882352941175,23.428571428571434,23.933333333333334,24.924999999999997,22.511999999999997,23.5,24.95,24.25,23.42222222222222,21.53,24.0,24.950000000000003,26.042857142857144,26.683333333333334,20.45,25.059999999999995,20.283333333333335,24.875,24.6,23.525,24.92,22.15,23.34615384615385,24.475,24.124999999999996,21.32,23.41666666666666,22.862499999999997,19.45,21.5,22.5,22.15,25.375,24.81,23.742857142857137,24.53076923076923,24.950000000000003,24.916666666666668,24.674999999999997,22.027272727272727,23.27692307692308,24.516666666666666,21.545454545454543,24.5,23.81,25.32857142857143,22.885714285714283,26.574999999999996,26.575,26.952173913043477,25.585714285714285,24.220000000000002,24.788888888888888,24.96666666666667,22.890000000000004,25.15,24.5,24.45,Null,24.0,24.3,23.549999999999997,25.21666666666667,26.46666666666666
07/2018,29.52,27.580000000000002,28.983333333333334,27.150000000000002,25.05,27.590000000000003,29.545454545454547,28.22,27.375,30.0,30.699999999999996,28.58333333333334,31.178571428571423,25.660000000000004,27.666666666666668,28.833333333333332,27.071428571428573,29.225,27.283333333333335,29.9,29.166666666666668,23.891666666666662,27.16666666666667,29.650000000000002,26.822222222222223,30.421428571428567,28.325,28.96666666666667,23.506666666666664,31.391666666666666,29.442857142857143,29.4,27.242105263157896,31.5625,26.585714285714282,27.599999999999998,28.740000000000002,27.071999999999992,27.55,28.18,25.099999999999998,27.533333333333335,26.360000000000003,26.559999999999995,28.575000000000003,29.97142857142857,29.03333333333333,24.933333333333334,28.383333333333336,24.416666666666668,29.5,28.95,27.025000000000002,29.4,25.3,25.183333333333334,28.724999999999998,28.633333333333336,26.74,28.133333333333336,26.685714285714283,24.533333333333335,25.366666666666664,25.833333333333332,25.400000000000002,29.4875,28.35,27.249999999999996,28.653846153846153,29.766666666666666,28.866666666666664,28.65,25.727272727272727,26.27857142857143,29.349999999999998,25.472727272727273,29.3,28.74,28.900000000000002,27.728571428571428,30.525,30.424999999999997,30.904545454545453,30.399999999999995,27.05,28.919999999999998,27.96666666666667,27.17777777777778,29.65,29.3,29.2,Null,28.0,29.0,28.75,29.150000000000002,30.299999999999997
08/2018,28.420000000000005,24.74,28.416666666666668,24.78,23.592857142857145,28.6,28.181818181818183,25.82,26.700000000000003,27.85,30.207692307692305,27.983333333333334,30.221428571428568,23.24,26.86666666666667,28.816666666666666,26.985714285714284,28.200000000000003,26.433333333333337,31.1,27.61666666666667,22.200000000000003,26.799999999999997,29.128571428571426,25.400000000000002,28.935714285714283,25.525000000000002,27.600000000000005,21.64,30.175,29.25714285714286,29.200000000000003,26.133333333333336,31.36875,24.842857142857138,26.46666666666667,27.72,25.85416666666666,26.45,28.049999999999997,21.233333333333334,27.300000000000004,25.240000000000002,25.779999999999994,28.425,29.528571428571432,29.21666666666667,23.71666666666667,26.88333333333333,21.883333333333336,27.275000000000002,26.95,25.325000000000003,27.160000000000004,22.7,23.758333333333336,27.0875,26.125,23.78,25.333333333333332,24.571428571428573,22.05,25.022222222222222,25.557142857142853,25.475,29.24444444444445,27.30909090909091,26.97857142857143,26.985714285714288,28.133333333333336,27.933333333333337,27.075,24.372727272727275,25.415384615384614,27.083333333333332,22.83636363636364,27.15,26.590000000000003,28.28,24.583333333333332,30.575000000000003,30.075000000000003,31.027272727272734,28.653846153846157,26.55,28.130000000000003,27.166666666666668,25.84444444444444,28.35,28.75,27.11666666666667,Null,24.8,27.0,26.549999999999997,29.733333333333334,30.977777777777778
09/2018,25.95,22.3,26.049999999999997,22.740000000000002,22.615384615384617,25.21666666666667,25.581818181818186,21.96,24.919999999999998,24.15,27.43571428571429,25.78333333333333,27.314285714285717,21.080000000000002,24.666666666666668,26.21666666666667,24.83571428571429,25.275,24.46666666666667,27.4,25.071428571428573,21.525000000000002,24.299999999999997,26.98333333333333,22.35,26.635714285714283,22.1,23.75,20.62666666666667,27.53333333333333,27.137499999999996,27.799999999999997,27.050000000000004,28.06666666666667,22.728571428571428,25.933333333333334,24.560000000000002,23.47083333333333,25.7,27.099999999999998,23.916666666666668,24.655555555555555,23.03,23.54,24.5,26.91428571428571,27.95,22.060000000000002,24.533333333333335,20.849999999999998,23.3,23.4,22.775,23.52,22.200000000000003,22.299999999999997,22.912499999999998,23.900000000000002,20.419999999999998,22.085714285714285,22.049999999999997,19.099999999999998,22.477777777777778,25.03333333333333,24.374999999999996,26.111111111111107,23.29090909090909,23.133333333333336,24.607142857142858,23.424999999999997,25.53333333333333,23.85,21.954545454545457,22.746153846153845,23.08333333333334,20.354545454545455,23.15,22.69,25.75,20.985714285714288,28.450000000000003,27.775,27.886363636363637,26.333333333333332,23.986666666666668,25.249999999999996,25.4,21.49,24.75,24.2,22.98333333333333,Null,22.9,22.8,22.474999999999998,27.483333333333334,27.22222222222222
10/2018,17.4,17.7,18.866666666666667,17.211111111111112,15.692307692307692,19.930769230769233,17.700000000000003,17.139999999999997,18.400000000000002,18.6,17.87857142857143,17.516666666666666,21.04,17.200000000000003,18.05,20.333333333333332,19.185714285714287,19.35,18.650000000000002,22.7,17.914285714285715,16.99166666666667,18.266666666666666,20.314285714285713,16.3125,18.7,17.6,19.075,16.586666666666666,19.583333333333332,19.237499999999997,19.6,19.455000000000002,20.847058823529412,17.999999999999996,19.900000000000002,19.339999999999996,16.554166666666667,17.5,19.54,19.266666666666666,17.37777777777778,15.39,18.78,19.725,19.942857142857143,20.083333333333332,14.319999999999999,18.833333333333332,17.249999999999996,17.96,18.0,17.625,18.24,17.25,17.56153846153846,17.200000000000003,18.075,17.080000000000002,18.02857142857143,17.224999999999998,17.01666666666667,15.91111111111111,18.26666666666667,17.95,19.600000000000005,17.354545454545455,16.74166666666667,17.235714285714284,17.425000000000004,17.816666666666666,18.55,15.836363636363641,16.02857142857143,18.916666666666668,17.472727272727273,18.950000000000003,18.110000000000003,19.375,17.414285714285715,19.0,19.45,21.504347826086956,18.800000000000004,18.380000000000003,18.95,20.25,16.1,19.3,17.1,18.616666666666667,Null,18.8,18.6,18.125,22.883333333333336,22.033333333333335
