Date,departement 01,departement 02,departement 03,departement 04,departement 05,departement 06,departement 07,departement 08,departement 09,departement 10,departement 11,departement 12,departement 13,departement 14,departement 15,departement 16,departement 17,departement 18,departement 19,departement 20,departement 21,departement 22,departement 23,departement 24,departement 25,departement 26,departement 27,departement 28,departement 29,departement 30,departement 31,departement 32,departement 33,departement 34,departement 35,departement 36,departement 37,departement 38,departement 39,departement 40,departement 41,departement 42,departement 43,departement 44,departement 45,departement 46,departement 47,departement 48,departement 49,departement 50,departement 51,departement 52,departement 53,departement 54,departement 55,departement 56,departement 57,departement 58,departement 59,departement 60,departement 61,departement 62,departement 63,departement 64,departement 65,departement 66,departement 67,departement 68,departement 69,departement 70,departement 71,departement 72,departement 73,departement 74,departement 75,departement 76,departement 77,departement 78,departement 79,departement 80,departement 81,departement 82,departement 83,departement 84,departement 85,departement 86,departement 87,departement 88,departement 89,departement 90,departement 91,departement 92,departement 93,departement 94,departement 95,departement 2A,departement 2B
01/2018,14.209999999999999,13.35,15.64,14.783333333333333,11.924999999999999,17.900000000000002,16.36,12.540000000000001,17.674999999999997,13.350000000000001,19.042857142857144,13.983333333333334,16.538888888888888,11.92857142857143,14.450000000000003,14.700000000000001,13.968181818181819,14.2,13.983333333333334,22.0,18.257142857142856,13.438461538461542,14.116666666666667,16.12857142857143,13.8,16.843749999999996,13.98,14.25,13.263157894736842,17.874999999999996,18.299999999999997,17.65,16.284210526315793,20.049999999999997,15.1375,14.700000000000001,14.5,14.158333333333337,14.25,18.325,14.319999999999999,15.129999999999999,12.959999999999999,14.016666666666667,10.675,15.749999999999998,16.816666666666666,10.566666666666666,15.271428571428574,11.914285714285715,13.4,12.55,14.440000000000001,13.02,12.0,13.824999999999998,12.2,13.375,13.66,14.219999999999999,14.5625,13.475,14.544444444444444,18.67142857142857,18.4,20.4125,14.377777777777778,13.12142857142857,14.692857142857145,13.833333333333334,14.566666666666668,14.62,12.172727272727274,11.885714285714286,14.450000000000001,13.141666666666667,14.350000000000001,13.77,14.166666666666666,13.533333333333333,18.1,17.56,18.910714285714285,16.86,13.80714285714286,13.939999999999998,13.366666666666667,11.629999999999999,14.899999999999999,13.9,13.966666666666669,Null,14.7,Null,14.05,14.737499999999999,18.22
02/2018,10.1,9.033333333333333,13.719999999999999,12.915384615384614,11.108333333333333,12.72,12.84,8.280000000000001,17.525,11.05,17.114285714285714,15.316666666666668,14.200000000000001,9.457142857142857,13.366666666666667,14.016666666666667,14.127777777777776,13.725,11.649999999999999,16.4,10.142857142857142,10.930769230769231,11.850000000000001,16.657142857142855,8.677777777777777,13.593750000000002,10.680000000000001,9.633333333333333,11.457894736842107,15.175000000000002,19.38888888888889,19.65,16.178947368421053,16.244999999999997,12.0625,14.333333333333334,13.333333333333334,9.587499999999999,8.35,19.42,12.88,12.98,12.35,13.233333333333334,9.15,16.25,18.533333333333335,11.616666666666667,12.685714285714285,9.357142857142858,10.95,9.3,11.540000000000001,9.38,8.35,12.608333333333333,8.577777777777776,11.9,10.940000000000001,11.219999999999999,10.85,10.437500000000002,10.711111111111112,18.285714285714285,19.375,15.425,9.955555555555556,8.499999999999998,10.5,10.166666666666666,11.416666666666666,11.74,9.009090909090908,8.507142857142858,11.483333333333334,10.509090909090908,12.0,10.83,13.499999999999998,10.983333333333334,19.075,18.9,15.73928571428571,15.140000000000002,12.47142857142857,13.59,12.833333333333334,7.62,12.7,10.4,11.683333333333335,Null,11.7,Null,10.975,12.287500000000001,14.030000000000001
03/2018,16.869999999999997,16.516666666666662,19.099999999999998,15.383333333333333,11.85,18.944444444444443,16.940000000000005,15.680000000000001,21.424999999999997,18.85,20.95,17.766666666666666,18.6875,16.633333333333333,18.483333333333334,18.1,17.573684210526313,19.8,17.033333333333335,21.4,16.242857142857144,16.466666666666665,17.116666666666667,19.014285714285712,14.333333333333334,18.56875,17.025,18.166666666666668,14.22777777777778,18.333333333333332,20.766666666666666,20.4,19.761111111111113,20.115,16.537499999999998,20.333333333333332,18.933333333333334,14.948,14.3,19.76,18.88,17.360000000000003,13.7,15.949999999999998,14.5,19.67142857142857,18.716666666666665,12.766666666666666,17.11428571428571,15.866666666666665,16.75,16.25,16.175,14.180000000000001,13.8,14.733333333333334,13.533333333333333,17.700000000000003,16.46,17.6,15.4125,15.799999999999999,16.0,19.642857142857142,20.725,19.437500000000004,14.544444444444444,14.949999999999998,17.492307692307694,16.13333333333333,17.28333333333333,17.64,12.836363636363638,13.328571428571431,18.13333333333333,16.508333333333333,18.450000000000003,17.1,17.842857142857145,17.05,21.1,21.18,20.11481481481481,17.76666666666667,15.771428571428572,18.36,15.633333333333335,13.366666666666667,19.4,16.6,17.766666666666666,Null,18.6,16.7,17.75,20.45,19.555555555555557
04/2018,28.0,27.216666666666665,27.483333333333334,21.39230769230769,22.650000000000002,24.92222222222222,27.54,27.32,26.150000000000002,28.35,26.150000000000002,25.416666666666668,26.793750000000003,27.433333333333334,25.883333333333336,28.757142857142856,27.68888888888889,28.075,26.5,25.2,28.014285714285712,26.816666666666663,26.850000000000005,28.628571428571426,24.622222222222224,27.906666666666663,28.119999999999997,25.7,24.852941176470583,27.041666666666668,26.744444444444444,26.75,27.905555555555555,26.379999999999995,25.474999999999998,28.2,28.975,25.232000000000014,26.2,29.3,26.933333333333334,26.099999999999998,24.799999999999997,27.416666666666668,29.025,27.928571428571427,27.866666666666664,21.95,28.314285714285713,26.0,28.025,27.65,27.45,27.68,27.05,26.066666666666663,27.88888888888889,27.25,26.920000000000005,28.060000000000002,26.85,25.1,24.233333333333334,27.3,24.45,24.9875,28.670000000000005,27.22857142857143,27.19285714285714,28.53333333333333,27.216666666666665,25.259999999999998,22.209090909090907,24.842857142857138,29.2,27.181818181818176,29.0,28.45,28.014285714285712,26.86666666666667,28.075000000000003,28.060000000000002,26.71851851851852,26.340000000000007,26.93333333333333,28.060000000000002,27.333333333333332,26.200000000000003,28.35,27.7,29.183333333333334,Null,28.3,29.4,28.549999999999997,25.03333333333333,25.566666666666663
05/2018,28.88181818181818,28.716666666666665,28.016666666666666,25.13333333333333,23.666666666666668,26.87777777777778,27.7,28.54,26.200000000000003,28.15,26.962500000000002,25.216666666666665,28.307142857142857,26.53333333333333,25.733333333333334,28.671428571428574,25.947058823529414,27.2,26.083333333333332,27.1,27.871428571428574,23.033333333333335,26.900000000000002,28.528571428571432,25.755555555555556,28.29285714285714,27.9,27.7,24.968749999999996,26.824999999999992,27.333333333333332,27.35,26.27,25.699999999999996,25.5125,28.2,29.049999999999997,25.660000000000004,25.9,26.450000000000003,29.083333333333332,27.311111111111106,25.14,27.633333333333336,28.349999999999998,27.54285714285714,28.233333333333334,21.833333333333332,28.816666666666663,24.849999999999998,28.95,27.25,22.8,28.2,27.85,27.146153846153847,28.599999999999998,25.875,28.839999999999996,28.339999999999996,27.575,26.928571428571427,25.422222222222224,25.083333333333332,23.924999999999997,25.2125,28.839999999999996,27.715384615384615,26.286666666666672,28.599999999999998,27.566666666666666,25.240000000000002,24.09090909090909,24.628571428571433,28.88333333333333,27.716666666666665,28.5,27.8,28.6,27.842857142857145,27.75,28.32,27.49259259259259,26.05333333333333,27.34,28.244444444444444,27.733333333333334,26.75,28.549999999999997,27.6,28.349999999999998,Null,28.6,28.3,28.125,27.983333333333334,28.144444444444442
06/2018,32.309090909090905,30.21666666666667,33.48333333333333,27.866666666666664,27.091666666666665,29.089999999999996,30.981818181818188,30.959999999999997,31.65,32.55,31.540000000000006,29.900000000000002,31.592857142857138,28.220000000000006,31.349999999999994,34.02857142857143,32.61875,32.699999999999996,31.416666666666668,31.3,33.2,25.78333333333333,31.98333333333333,33.857142857142854,29.144444444444446,31.778571428571432,30.080000000000002,32.3,27.13529411764706,32.016666666666666,31.987499999999997,32.099999999999994,33.82857142857143,31.384999999999998,28.112499999999997,34.233333333333334,33.3,29.163999999999998,30.25,33.06,33.35,30.41111111111111,28.97,31.816666666666663,33.25,33.60000000000001,33.38333333333333,26.916666666666668,33.260000000000005,25.150000000000002,32.625,31.700000000000003,24.98,31.779999999999994,29.9,30.184615384615388,30.56666666666667,31.075,27.76,31.150000000000006,30.5375,24.857142857142858,30.244444444444444,30.8,29.5,31.724999999999998,30.71,29.735714285714284,30.028571428571436,32.06666666666667,32.0,28.78,27.85454545454546,28.057142857142857,32.333333333333336,28.94545454545454,32.3,31.27,33.75714285714286,30.271428571428572,33.2,32.95,30.840740740740742,30.928571428571427,32.32000000000001,32.92222222222222,34.333333333333336,29.93,32.95,30.7,31.383333333333336,Null,31.2,31.2,30.65,30.433333333333334,31.400000000000002
07/2018,34.88,36.0,35.65,30.658333333333335,29.55384615384616,31.660000000000004,34.39090909090908,35.96,32.525,37.25,35.800000000000004,33.18571428571429,34.75714285714286,34.08,32.86666666666667,34.800000000000004,32.42142857142857,36.05,33.449999999999996,32.7,35.614285714285714,28.15833333333333,33.11666666666667,35.357142857142854,32.45555555555555,35.64285714285714,34.36,35.025000000000006,28.38,35.34166666666667,34.5,34.15,33.85500000000001,35.00588235294118,31.542857142857144,35.96666666666667,34.2,32.396,33.35,31.91666666666667,34.95,33.833333333333336,31.809999999999995,31.166666666666668,36.5,35.82857142857143,35.199999999999996,29.883333333333336,34.63333333333333,30.066666666666663,36.9,35.65,26.540000000000003,35.879999999999995,32.65,30.599999999999998,35.0625,33.75,35.4,36.46666666666667,33.362500000000004,32.642857142857146,31.5,30.766666666666666,30.225,33.8,34.129999999999995,32.98571428571428,32.81428571428572,35.5,35.26666666666667,35.05,30.572727272727274,31.23571428571429,36.73333333333333,33.49090909090909,36.75,35.88,36.18571428571428,36.628571428571426,34.724999999999994,35.475,33.21666666666667,34.91538461538461,32.2,35.07,34.55,32.51,36.5,35.9,36.300000000000004,Null,32.7,36.9,36.3,34.7,34.08888888888889
08/2018,35.339999999999996,34.03333333333334,37.38333333333333,31.08333333333334,29.50714285714286,31.675,35.09090909090909,36.00000000000001,33.540000000000006,38.15,37.07142857142857,34.949999999999996,36.55,31.74,33.93333333333333,36.99999999999999,35.87142857142857,38.0,33.81666666666666,34.3,35.1,28.158333333333335,34.78333333333333,37.114285714285714,33.03333333333333,35.66428571428571,35.225,34.25,29.026666666666664,36.824999999999996,35.45714285714285,35.75,36.03000000000001,36.49999999999999,33.81428571428571,35.53333333333334,35.36,32.736000000000004,34.15,35.93333333333334,34.21666666666666,34.34444444444445,31.220000000000006,35.239999999999995,37.175,37.21428571428572,36.833333333333336,30.366666666666664,35.24999999999999,30.000000000000004,35.36,37.1,27.560000000000002,36.260000000000005,29.1,32.483333333333334,35.955555555555556,34.575,35.22,33.214285714285715,31.8,29.599999999999998,32.455555555555556,33.128571428571426,33.075,35.544444444444444,34.99090909090909,33.82857142857143,33.814285714285724,33.525,35.81666666666667,35.45,30.6,31.11428571428572,36.68333333333333,31.44545454545454,37.2,36.16,35.54285714285714,34.371428571428574,37.0,36.825,34.85,35.792307692307695,34.98,36.209999999999994,32.125,33.888888888888886,37.45,36.5,36.449999999999996,Null,30.8,36.9,36.35,34.21666666666667,34.86666666666667
09/2018,31.610000000000003,26.983333333333334,32.56666666666667,25.954545454545453,27.235714285714288,28.233333333333334,31.109090909090913,27.619999999999997,29.98,30.700000000000003,32.86666666666666,30.933333333333334,31.08666666666667,28.059999999999995,29.883333333333336,31.62857142857143,29.63571428571429,31.975,30.099999999999998,29.6,31.64285714285714,27.649999999999995,30.75,31.942857142857147,28.533333333333335,32.07857142857143,28.6,30.875,26.10666666666667,32.12499999999999,32.1,32.9,32.765,33.18888888888889,29.057142857142857,32.56666666666666,31.32,28.495833333333334,29.799999999999997,33.23333333333333,31.75,30.233333333333334,28.23,28.5,31.474999999999998,32.44285714285714,32.81666666666666,26.78333333333333,31.21666666666667,27.53333333333333,29.060000000000002,30.85,23.54,31.0,28.700000000000003,26.975000000000005,30.377777777777776,30.375,26.46,28.242857142857144,28.2,24.957142857142856,28.63333333333334,31.78571428571429,30.424999999999997,31.35555555555556,30.527272727272727,29.142857142857142,29.93571428571429,29.949999999999996,32.03333333333334,30.225,26.87272727272727,27.685714285714287,29.549999999999997,27.03636363636364,29.75,29.590000000000003,30.440000000000005,26.728571428571428,33.575,32.55,30.948,30.993333333333332,29.259999999999998,31.98,31.424999999999997,28.3,31.45,30.5,29.650000000000002,Null,29.3,29.8,29.45,31.033333333333335,30.488888888888894
10/2018,25.800000000000004,25.333333333333332,28.916666666666668,23.85,22.12142857142857,26.030769230769234,24.927272727272733,25.3,26.640000000000004,27.05,25.44285714285714,25.05,26.50666666666667,24.999999999999996,25.150000000000002,28.2,26.5,28.200000000000003,25.71666666666667,28.0,25.98571428571429,24.541666666666668,26.51666666666667,28.54285714285714,24.15,25.77857142857143,25.0,26.8,22.526666666666667,26.058333333333337,27.4875,28.6,28.476190476190474,26.789473684210527,25.714285714285715,29.233333333333334,27.26,22.863999999999997,24.700000000000003,30.04,27.849999999999998,26.122222222222224,22.909999999999993,25.32,27.95,28.12857142857143,29.116666666666664,21.919999999999998,26.83333333333334,24.849999999999998,25.920000000000005,26.3,19.740000000000002,26.7,26.450000000000003,23.546153846153842,25.111111111111107,26.575000000000003,25.0,25.785714285714285,24.5625,24.942857142857143,24.411111111111115,28.400000000000002,27.225,25.877777777777776,26.14545454545454,24.32857142857143,24.428571428571434,26.125,26.48333333333333,26.075000000000003,21.175,22.678571428571427,26.91666666666667,24.60909090909091,27.1,25.839999999999996,26.2,24.657142857142862,28.025000000000002,28.65,26.384000000000004,25.85333333333334,25.540000000000003,27.379999999999995,26.924999999999997,24.140000000000004,27.15,26.7,26.299999999999997,Null,27.0,26.2,25.875,26.416666666666668,26.51111111111111
