Identifiants,Marque-Enseigne,Gamme,Parfum,Ventes en litres
1,Auchan,0% 60CL,AGRUMES,fond de rayon
2,Auchan,0% 60CL,GRENADINE,fond de rayon
3,Auchan,0% 60CL,MENTHE VERTE,fond de rayon
4,Auchan,CLA 75 CL,GRENADINE,fond de rayon
5,Auchan,CLA 75 CL,MENTHE VERTE,fond de rayon
6,Auchan,Plaisir 60CL,ANIS,fond de rayon
7,Auchan,Plaisir 60CL,BANANE/FRAISE,fond de rayon
8,Auchan,Plaisir 60CL,CASSIS,fond de rayon
9,Auchan,Plaisir 60CL,CITRON VERT,fond de rayon
10,Auchan,Plaisir 60CL,FRAISE,fond de rayon
11,Auchan,Plaisir 60CL,FRAMBOISE,fond de rayon
12,Auchan,Plaisir 60CL,FRUITS PASSION,fond de rayon
13,Auchan,Plaisir 60CL,MOJITO,fond de rayon
14,Auchan,Plaisir 60CL,ORANGE,fond de rayon
15,Auchan,Plaisir 60CL,PAMPLEM. ROSE,fond de rayon
16,Auchan,Plaisir 60CL,PECHE,fond de rayon
17,Auchan,Plaisir 60CL,POMME FRAMBOISE CASSIS,fond de rayon
18,Francap,100CL,CITRON,fond de rayon
19,Francap,100CL,FRAISE,fond de rayon
20,Francap,100CL,GRENADINE,fond de rayon
21,Francap,100CL,MENTHE VERTE,fond de rayon
22,Francap,BIO (btl 50cl),GRENADINE,fond de rayon
23,Francap,BIO (btl 50cl),MENTHE VERTE,fond de rayon
24,Francap,CLA 75 CL,CITRON,fond de rayon
25,Francap,CLA 75 CL,GRENADINE,fond de rayon
26,Francap,CLA 75 CL,MENTHE VERTE,fond de rayon
27,Francap,CLA 75 CL,ORANGE,fond de rayon
28,Francap,Plaisir 75CL,CASSIS,fond de rayon
29,Francap,Plaisir 75CL,FRAISE,fond de rayon
30,Francap,Plaisir 75CL,FRAMBOISE,fond de rayon
31,Francap,Plaisir 75CL,PAMPLEM. ROSE,fond de rayon
32,Francap,Plaisir 75CL,PECHE,fond de rayon
33,Francap,Plaisir 75CL,THE PÊCHE,fond de rayon
34,Galec,BIO,CASSIS,fond de rayon
35,Galec,BIO,CITRON,fond de rayon
36,Galec,BIO,FRAISE,fond de rayon
37,Galec,BIO,GRENADINE,fond de rayon
38,Galec,BIO,MENTHE VERTE,fond de rayon
39,Galec,BIO,PECHE,fond de rayon
40,Galec,Bidon+ fruite,ABRICOT PASSION,fond de rayon
41,Galec,Bidon+ fruite,GRENADINE,fond de rayon
42,Galec,CLA 75 CL,CITRON,fond de rayon
43,Galec,CLA 75 CL,GRENADINE,fond de rayon
44,Galec,CLA 75 CL,MENTHE VERTE,fond de rayon
45,Galec,CLA 75 CL,ORANGE,fond de rayon
46,Galec,Max,CITRON,fond de rayon
47,Galec,Max,FRAISE,fond de rayon
